,Game_Name,Rating,#Reviews,Rabatt%,OrdinariePris,Sale Price,Release_Year,Win,linux,OSX,Date
51,House Flipper - Luxury DLC ,4,#376,-40%,"14,79€","8,87€             ","14 Oct, 2021",1,0,1,20 Dec 2022
52,House Flipper - Garden DLC ,2,#736,-50%,"14,79€","7,39€             ","16 May, 2019",1,0,1,20 Dec 2022
53,Cities: Skylines - Industries ,3,#684,-40%,"14,99€","8,99€             ","23 Oct, 2018",1,1,1,20 Dec 2022
54,『TRIANGLE STRATEGY DIGITAL DELUXE EDITION』+『VARIOUS DAYLIFE』Bundle ,3,#774,-55%,"93,98€","42,09€            ",,1,0,0,20 Dec 2022
55,Cities: Skylines - Sunset Harbor ,2,#507,-40%,"14,99€","8,99€             ","26 Mar, 2020",1,1,1,20 Dec 2022
56,Orcs Must Die! 3 Complete Bundle ,4,"#7,028",-78%,"38,17€","8,58€             ",,1,0,0,20 Dec 2022
57,Lil Gator Game ,5,#554,-30%,"19,50€","13,65€            ","14 Dec, 2022",1,0,0,20 Dec 2022
58,Just Cause™ 3 ,4,"#85,119",-85%,"19,99€","2,99€             ","30 Nov, 2015",1,0,0,20 Dec 2022
59,Little Nightmares II ,4,"#19,898",-67%,"29,99€","9,89€             ","10 Feb, 2021",1,0,0,20 Dec 2022
60,Expansion - Hearts of Iron IV: No Step Back ,3,"#2,536",-20%,"19,99€","15,99€            ","23 Nov, 2021",1,1,1,20 Dec 2022
61,Space Crew: LE & Bomber Crew Deluxe Bundle ,4,"#9,631",-82%,"79,92€","14,57€            ",,1,1,1,20 Dec 2022
62,Secret Gardens ,4,"#7,502",-42%,"64,63€","37,30€            ",,1,0,1,20 Dec 2022
63,FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION ,4,"#33,618",-50%,"39,98€","19,98€            ",,1,0,0,20 Dec 2022
